unique_id_num,unique_id,date_tagged,tagging_crew,tagger,use,total_length,year,date_detected,time_detected,flight_num,flight_day,antenna,mort,power,hits,latitude,longitude,highest_signal,current_fate,current_fate_num,fate_detailed,fate_detailed_num,final_fate_simplified,notes,tagging_section,survey_section,season,season_use,spawning_season,tagging_habitat,life_history,section_most_occupied,homerange,cumulative_distance_traveled,cumulative_distance_traveled_per_obs,mean_upriver_position,,unique_id_num,unique_id,time_detected
6,10-6,9/24/2018,"BC, HS",,Y,645,2020,7/28/2020, 1:53:13 PM,10,1,belly,FALSE,65,5,65.15882,-151.954642,TRUE,alive,0,alive,0,Alive,,Lower,Yukon,3_summer,Y,,mainstem,mainstem,Lower,,,,,,6,10-6, 1:53:13 PM
6,10-6,9/24/2018,"BC, HS",,Y,645,2020,10/22/2020, 1:12:48 PM,11,1,wing,FALSE,88,12,65.025993,-151.682171,TRUE,alive,0,alive,0,Alive,,Lower,Lower,4_fall,Y,,mainstem,mainstem,Lower,,,,,,6,10-6, 1:12:48 PM
6,10-6,9/24/2018,"BC, HS",,Y,645,2021,1/13/2021,12:33:45 PM,12,1,right,FALSE,52,2,64.902537,-149.568162,TRUE,alive,0,alive,0,Alive,,Lower,Lower,1_winter,Y,2020_2021,mainstem,mainstem,Lower,,,,,,6,10-6,12:33:45 PM
6,10-6,9/24/2018,"BC, HS",,Y,645,2021,1/27/2021,12:26:04 PM,13,2,left,FALSE,74,8,64.719796,-149.157112,TRUE,alive,0,alive,0,Alive,,Lower,Lower,1_winter,N,2020_2021,mainstem,mainstem,Lower,,,,,,6,10-6,12:26:04 PM
7,10-7,9/24/2018,"LG, RQ",,Y,707,2018,9/24/2018,12:00:00 AM,0.1,0,NA,NA,0,0,64.89774,-151.26482,NA,alive,0,dead,1,Mortality,,Lower,Lower,0_Tagging,Y,,mainstem,mainstem,Lower,,,,,,7,10-7,12:00:00 AM
7,10-7,9/24/2018,"LG, RQ",,Y,707,2019,1/27/2019,10:51:44 AM,1,2,wing,TRUE,113,1,64.90892,-151.460681,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,Y,2018_2019,mainstem,mainstem,Lower,,,,,,7,10-7,10:51:44 AM
7,10-7,9/24/2018,"LG, RQ",,Y,707,2019,2/5/2019, 2:02:39 PM,2,1,belly,TRUE,214,2,64.911273,-151.461158,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,N,2018_2019,mainstem,mainstem,Lower,,,,,,7,10-7, 2:02:39 PM
7,10-7,9/24/2018,"LG, RQ",,Y,707,2019,5/19/2019, 5:29:41 PM,3,1,belly,TRUE,71,1,64.907937,-151.458967,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,2_spring,Y,,mainstem,mainstem,Lower,,,,,,7,10-7, 5:29:41 PM
7,10-7,9/24/2018,"LG, RQ",,Y,707,2020,1/15/2020,11:30:23 AM,7,1,left,TRUE,40,1,64.906865,-151.454908,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,N,2019_2020,mainstem,mainstem,Lower,,,,,,7,10-7,11:30:23 AM
7,10-7,9/24/2018,"LG, RQ",,Y,707,2021,1/13/2021, 1:08:39 PM,12,1,left,TRUE,67,4,64.901353,-151.451545,FALSE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,N,2020_2021,mainstem,mainstem,Lower,,,,,,7,10-7, 1:08:39 PM
