"","Tagging_Date","Unique_fish_number","Frequency_tag_ID_Identifier","Section_Tagged","Final_Fate","Last_Date_Found_Alive","Days_Alive","Home_Range_RKM","Cumulative_Distance_Traveled_RKM","Cumulative_Distance_Traveled_per_Observation_Interval","Section_Most_Occupied","Mean_Upriver_Position","Life_History"
"208","9/26/2018",208,"34-1","Lower","",2020-10-22,757,280.523945481165,819.902526464012,102.487815808001,"Lower",120.012722350891,"mainstem"
"209","9/23/2018",209,"34-2","Lower","",2019-02-05,135,105.505880304307,111.822621701844,55.9113108509222,"Lower",142.325776067803,"mainstem"
"210","9/23/2018",210,"34-3","Lower","",2019-02-07,137,221.584502295101,249.731777279112,124.865888639556,"Lower",205.03077376459,"mainstem"
"211","9/23/2018",211,"34-4","Lower","",2019-02-05,135,34.0422579788067,34.0422579788068,17.0211289894034,"Lower",21.3223999757803,"mainstem"
"212","9/26/2018",212,"34-5","Lower","",2018-09-26,0,0,0,NA,"Lower",109.095669661204,"mainstem"
"213","9/24/2018",213,"34-6","Lower","",2019-02-05,134,22.8539777218132,22.8539777218132,22.8539777218132,"Lower",47.3056102899288,"mainstem"
"214","9/24/2018",214,"34-7","Lower","",2019-02-07,136,171.23369577778,171.23369577778,85.6168478888901,"Lower",181.59708866576,"mainstem"
"215","9/24/2018",215,"34-8","Lower","",2018-09-24,0,0,0,NA,"Lower",63.6007319537673,"mainstem"
"216","9/24/2018",216,"34-9","Lower","",2018-09-24,0,0,0,NA,"Lower",35.2768630849448,"mainstem"
"217","9/24/2018",217,"34-10","Lower","",2019-05-19,237,173.49957728904,242.717311691063,80.9057705636877,"Lower",174.898859655977,"mainstem"
"218","9/21/2018",218,"34-11","Lower","",2018-09-21,0,0,0,NA,"Lower",105.590317815422,"mainstem"
"219","9/21/2018",219,"34-12","Lower","",2019-05-19,240,350.831699413117,595.748943166667,198.582981055556,"Lower",59.5453125017697,"mainstem"
"220","9/21/2018",220,"34-13","Lower","",2019-12-18,453,29.022407764351,29.022407764351,14.5112038821755,"Lower",78.6914162323853,"mainstem"
"221","9/21/2018",221,"34-14","Lower","",2021-01-13,845,172.09089770143,317.70127149907,79.4253178747676,"Lower",180.116043725529,"mainstem"
"222","9/21/2018",222,"34-15","Lower","",2020-05-27,614,222.710282125281,819.843354644901,91.0937060716557,"Lower",147.312286363025,"mainstem"
"223","9/20/2018",223,"34-16","Lower","",2019-05-19,241,31.3769867002012,31.4126360133907,10.4708786711302,"Lower",130.759384246237,"tributary"
"224","9/20/2018",224,"34-17","Lower","",2018-09-20,0,0,0,NA,"Lower",98.5142716431634,"mainstem"
"225","9/26/2018",225,"34-18","Lower","",2019-07-26,303,204.926175302483,381.474608714167,95.3686521785417,"Lower",65.6642860009396,"mainstem"
"226","9/26/2018",226,"34-19","Lower","",2019-07-26,303,50.4562337492606,51.8582245112706,17.2860748370902,"Lower",128.261956319973,"mainstem"
"227","9/20/2018",227,"34-20","Lower","",2019-02-05,138,57.7103172285459,115.020634457092,57.5103172285459,"Lower",169.71868603392,"mainstem"
"228","9/19/2018",228,"34-21","Lower","",2021-01-27,861,113.269420462117,212.548921656005,19.322629241455,"Lower",190.420986442083,"tributary"
"229","9/19/2018",229,"34-22","Lower","",2019-07-26,310,333.022328651158,456.714131020721,152.238043673574,"Lower",100.097855837301,"mainstem"
"230","9/19/2018",230,"34-23","Lower","",2018-09-19,0,0,0,NA,"Lower",158.751964073019,"mainstem"
"231","5/24/2019",231,"34-24","Lower","",2019-05-24,0,0,0,NA,"Lower",204.909696843141,"tributary"
"232","5/24/2019",232,"34-25","Lower","",2020-05-27,369,141.961889573407,266.345807206082,44.3909678676804,"Lower",222.399311448748,"tributary"
"233","5/24/2019",233,"34-26","Lower","",2019-07-26,63,15.777116366055,15.777116366055,15.777116366055,"Lower",218.63201363499,"tributary"
"234","5/11/2019",234,"34-27","Lower","",2020-02-08,273,116.19264658747,118.998784050823,23.7997568101645,"Lower",274.581041773118,"mainstem"
"235","5/11/2019",235,"34-28","Lower","",2021-01-27,627,164.336646767054,442.460676968799,55.3075846210999,"Lower",237.829254890711,"tributary"
"236","5/11/2019",236,"34-29","Lower","",2019-05-11,0,0,0,NA,"Lower",226.344385858855,"mainstem"
"237","5/11/2019",237,"34-30","Lower","",2020-10-22,530,141.818062094078,181.264934123546,25.894990589078,"Lower",261.822434584638,"mainstem"
"238","9/20/2018",238,"34-31","Middle","",2021-01-26,859,413.36916708153,737.710132387575,81.9677924875084,"Middle",169.034542781932,"mainstem"
"239","9/20/2018",239,"34-32","Middle","",2018-09-20,0,0,0,NA,"Middle",270.624192044546,"mainstem"
"240","9/21/2018",240,"34-33","Middle","",2019-12-18,453,166.365371998816,302.443500567043,60.4887001134086,"Middle",397.484327026209,"tributary"
"241","9/20/2018",241,"34-34","Middle","",2019-05-19,241,123.215107993979,124.347452286483,41.4491507621611,"Lower",156.412171492171,"mainstem"
"242","9/21/2018",242,"34-35","Middle","",2020-05-29,616,122.341445416918,161.278624635808,23.0398035194012,"Middle",286.209130615978,"tributary"
